SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8002,WH_8002,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9002,WH_9002,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_10002,WH_10002,WSD_100_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_11002,WH_11002,WSD_110_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-8003,WH_8003,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-9003,WH_9003,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-10003,WH_10003,WSD_100_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-11003,WH_11003,WSD_110_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-8004,WH_8004,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-9004,WH_9004,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-10004,WH_10004,WSD_100_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH-DD-11004,WH_11004,WSD_110_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8005,WH_8005,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9005,WH_9005,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8006,WH_8006,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9006,WH_9006,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Single_Door,WH_SD_4007,WH_4007,WSD_40_20,Single,LHS/RHS,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Single_Door,WH_SD_4507,WH_4507,WSD_45_20,Single,LHS/RHS,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Single_Door,WH_SD_5007,WH_5007,WSD_50_20,Single,LHS/RHS,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Single_Door,WH_SD_6007,WH_6007,WSD_60_20,Single,LHS/RHS,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_7007,WH_7007,WSD_70_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_7507,WH_7507,WSD_75_20,Double,No,Yes,Yes,Yes,No,1_100
